station,station_ft,page,raw_paths,after_grid_filter,post_merge_strict,post_merge_tolerant,noise_removed,filled_removed,candidates_remaining,scored_candidates,classification_rule,classification_confidence,eg_found,pg_found,status,eg_points,eg_length,eg_dash_ratio,eg_segments_merged,eg_color,eg_stroke_w,pg_points,pg_length,pg_dash_ratio,pg_segments_merged,pg_color,pg_stroke_w,signals_used,signal_votes,failure_reason
24+00,2400,89,916,575,451,343,266,0,77,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,1112.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,160.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
24+50,2450,89,885,561,449,343,271,0,72,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,38,1114.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,164.0,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
25+00,2500,89,635,396,312,247,187,0,60,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,38,1116.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,103.1,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
25+50,2550,90,902,569,450,346,271,0,75,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,38,1116.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,47,180.3,0.0,3,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
26+00,2600,90,886,566,452,348,275,0,73,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,37,1116.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,194.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
26+40,2640,90,610,370,271,208,142,0,66,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,44,1122.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,21,306.9,0.0,10,"(0.0, 0.0, 0.0)",0.48,['dash_ratio'],--,
26+50,2650,91,698,430,345,255,203,0,52,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,50,1129.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,152.5,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
27+00,2700,91,645,401,321,234,188,0,46,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,43,1087.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
27+50,2750,91,628,393,315,225,177,0,48,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,37,1084.4,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
28+00,2800,91,379,230,184,134,105,0,29,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,38,1098.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
