station,station_ft,page,raw_paths,after_grid_filter,post_merge_strict,post_merge_tolerant,noise_removed,filled_removed,candidates_remaining,scored_candidates,classification_rule,classification_confidence,eg_found,pg_found,status,eg_points,eg_length,eg_dash_ratio,eg_segments_merged,eg_color,eg_stroke_w,pg_points,pg_length,pg_dash_ratio,pg_segments_merged,pg_color,pg_stroke_w,signals_used,signal_votes,failure_reason
16+50,1650,47,672,425,335,248,198,2,48,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,34,927.3,1.0,1,"(0.0, 0.0, 0.0)",0.84,79,659.9,0.0,10,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
17+00,1700,47,671,424,335,246,195,2,49,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,34,950.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,33,717.6,0.0,8,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
17+50,1750,47,677,433,340,250,193,2,55,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,43,918.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,153,792.4,0.0,15,"(0.0, 0.0, 0.0)",0.24,['dash_ratio'],--,
18+00,1800,47,448,275,217,177,146,2,29,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,40,996.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,148,602.2,0.0,12,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
18+50,1850,48,726,456,358,269,213,2,54,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,39,995.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,123,247.4,0.0,7,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
19+00,1900,48,707,455,359,272,218,2,52,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,38,983.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
19+50,1950,48,732,471,377,286,235,2,49,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,37,761.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,61,76.6,0.0,13,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
20+00,2000,48,499,312,249,195,154,2,39,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,35,982.4,1.0,1,"(0.0, 0.0, 0.0)",0.84,67,89.0,0.0,14,"(0.0, 0.0, 0.0)",0.24,['dash_ratio'],--,
20+50,2050,49,740,471,372,283,228,2,53,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,35,981.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,134.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
21+00,2100,49,755,490,379,289,229,2,58,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,36,974.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,157.1,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
21+50,2150,49,743,476,382,285,227,2,56,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,27,983.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,149.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
22+00,2200,49,513,319,256,208,170,2,36,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,1034.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,155.5,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
22+50,2250,50,752,479,377,284,228,2,54,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,1038.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,156.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
23+00,2300,50,793,505,388,293,233,2,58,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,1039.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,157.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
23+50,2350,50,537,328,259,198,156,2,40,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,32,1040.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,159.0,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
24+00,2400,51,775,485,375,283,226,2,55,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,1046.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,161.9,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
24+50,2450,51,764,482,380,285,232,2,51,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,1047.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,163.8,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
25+00,2500,51,535,326,254,196,154,2,40,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,1044.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,166.1,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
25+50,2550,52,775,484,379,285,228,2,55,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,1043.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,166.9,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
26+00,2600,52,766,483,381,285,232,2,51,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,27,1038.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,170.1,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
26+40,2640,52,479,268,207,148,108,2,38,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,33,1039.3,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
26+50,2650,53,716,448,360,270,215,0,55,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,50,1129.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,152.5,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
27+00,2700,53,654,410,330,243,195,0,48,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,43,1087.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
27+50,2750,53,636,401,324,234,185,0,49,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,37,1084.4,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
28+00,2800,53,390,241,196,146,116,0,30,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,38,1098.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
28+50,2850,54,670,414,332,240,191,0,49,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,37,1093.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
29+00,2900,54,650,408,330,238,192,0,46,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,21,1105.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
29+50,2950,54,390,242,197,137,103,0,34,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,21,1097.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
30+00,3000,55,671,415,332,242,191,0,51,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,30,1116.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
30+50,3050,55,685,435,358,262,215,0,47,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,32,1130.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
31+00,3100,55,448,268,225,169,134,2,33,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,29,1145.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
31+50,3150,56,718,444,362,264,212,2,50,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,31,1141.4,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
32+00,3200,56,450,270,224,161,129,2,30,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,33,1137.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
32+50,3250,57,714,441,359,260,209,2,49,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,26,1138.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
33+00,3300,57,679,427,349,252,201,2,49,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,27,1134.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
33+40,3340,57,598,384,270,219,163,11,45,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,27,1134.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,9,227.7,0.0,6,"(0.0, 0.0, 0.0)",0.48,['dash_ratio'],--,
33+50,3350,58,770,474,377,283,227,2,54,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,1134.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,183.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
34+00,3400,58,782,487,394,299,243,2,54,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,1131.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,182.0,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
34+50,3450,58,534,319,259,206,165,2,39,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,1127.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,181.4,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
35+00,3500,59,808,495,395,302,245,2,55,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,1130.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,176.3,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
35+50,3550,59,805,507,399,303,243,2,58,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,1128.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,169.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
36+00,3600,59,538,321,260,208,167,2,39,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,1125.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,165.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
36+50,3650,60,807,494,396,302,242,2,58,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,1123.3,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,161.0,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
37+00,3700,60,749,479,384,290,235,2,53,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,23,1123.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,151.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
37+50,3750,60,500,309,248,195,154,2,39,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,22,1124.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,141.2,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
38+00,3800,61,765,481,381,289,232,2,55,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,23,1123.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,139.8,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
38+50,3850,61,748,479,385,289,235,2,52,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,22,1123.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,135.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
39+00,3900,61,499,310,244,192,154,2,36,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,1124.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,132.9,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
39+50,3950,62,755,479,384,291,236,2,53,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,1125.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,131.4,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
40+00,4000,62,735,473,383,288,236,2,50,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,1125.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,135.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
40+50,4050,62,481,298,251,197,160,2,35,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,1122.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,132.4,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
41+00,4100,63,744,467,381,289,235,2,52,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,1124.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,128,222.0,0.0,8,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
41+50,4150,63,731,465,383,288,236,2,50,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,1123.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,133.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
42+00,4200,63,482,296,245,193,156,2,35,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,23,1122.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,129.3,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
42+50,4250,64,734,461,374,281,228,2,51,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,1122.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,126.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
43+00,4300,64,718,458,378,284,232,2,50,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,22,1123.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,131.1,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
43+50,4350,64,476,292,244,189,150,2,37,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,1123.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,133.4,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
44+00,4400,65,737,463,375,282,227,2,53,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,1121.4,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,137.0,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
44+50,4450,65,727,464,380,285,232,2,51,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,32,1121.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,134.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
45+00,4500,65,476,295,246,194,156,2,36,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,1120.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,134.3,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
45+50,4550,66,738,467,376,283,229,2,52,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,1120.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,132.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
46+00,4600,66,722,465,378,284,233,2,49,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,997.3,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,132.4,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
46+50,4650,66,477,299,246,193,156,2,35,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,987.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,130.9,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
47+00,4700,67,745,474,381,289,233,2,54,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,991.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,129.2,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
47+50,4750,67,677,426,347,251,202,2,47,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,977.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,179.2,0.0,3,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
48+00,4800,67,431,258,210,158,124,2,32,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,958.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,10,128.9,0.0,3,"(0.0, 0.0, 0.0)",0.24,['dash_ratio'],--,
48+50,4850,68,666,422,340,247,196,2,49,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,30,958.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
49+00,4900,68,649,419,340,246,199,2,45,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,34,984.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
49+50,4950,68,402,251,206,153,120,2,31,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,31,980.2,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
49+54,4954,69,419,255,206,151,120,2,29,1,"only 1 candidate -> PG only, no EG",0.3,False,True,incomplete,0,0,0,0,--,0,32,974.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,[],--,Only 1 scored candidate -- cannot assign Existing Ground.
11+65,1165,82,819,500,389,291,226,0,65,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,832.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,145,250.1,0.0,8,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
12+00,1200,82,823,514,403,302,239,0,63,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,23,826.3,1.0,1,"(0.0, 0.0, 0.0)",0.84,107,240.7,0.0,8,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
12+50,1250,82,588,358,283,223,172,0,51,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,843.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,102,230.6,0.0,8,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
