page_number,drawings_count,images_count,text_blocks_count,page_width,page_height,classification
133,3162,0,113,1224.0,792.0,VECTOR
134,4731,0,204,1224.0,792.0,VECTOR
135,4904,0,133,1224.0,792.0,VECTOR
136,4906,0,130,1224.0,792.0,VECTOR
137,4841,0,181,1224.0,792.0,VECTOR
138,5088,0,134,1224.0,792.0,VECTOR
139,4927,0,183,1224.0,792.0,VECTOR
140,2393,0,183,1224.0,792.0,VECTOR
141,3549,0,139,1224.0,792.0,VECTOR
142,3910,0,202,1224.0,792.0,VECTOR
143,3530,0,190,1224.0,792.0,VECTOR
144,1809,0,105,1224.0,792.0,VECTOR
145,1935,0,159,1224.0,792.0,VECTOR
146,2029,0,114,1224.0,792.0,VECTOR
147,1447,0,93,1224.0,792.0,VECTOR
148,2017,0,119,1224.0,792.0,VECTOR
149,24451,4,267,1224.0,792.0,HYBRID
150,10283,6,179,1224.0,792.0,HYBRID
151,6750,21,123,1224.0,792.0,HYBRID
152,294,46,31,1224.0,792.0,HYBRID
153,9806,1,1,1224.0,792.0,HYBRID
154,10725,1,1,1224.0,792.0,HYBRID
155,12000,1,1,1224.0,792.0,HYBRID
156,9712,1,1,1224.0,792.0,HYBRID
157,10462,1,1,1224.0,792.0,HYBRID
158,11616,1,1,1224.0,792.0,HYBRID
159,6607,1,1,1224.0,792.0,HYBRID
160,7194,6,148,1224.0,792.0,HYBRID
161,2841,0,138,1224.0,792.0,VECTOR
162,8133,0,162,1224.0,792.0,VECTOR
163,1527,0,87,1224.0,792.0,VECTOR
164,8003,0,95,1224.0,792.0,VECTOR
165,6585,0,98,1224.0,792.0,VECTOR
166,1682,0,87,1224.0,792.0,VECTOR
167,11550,0,124,1224.0,792.0,VECTOR
168,2134,0,82,1224.0,792.0,VECTOR
169,43226,0,81,1224.0,792.0,VECTOR
170,27829,0,91,1224.0,792.0,VECTOR
171,4846,0,84,1224.0,792.0,VECTOR
172,8176,0,73,1224.0,792.0,VECTOR
173,8676,0,87,1224.0,792.0,VECTOR
174,3707,0,88,1224.0,792.0,VECTOR
175,3109,0,80,1224.0,792.0,VECTOR
176,13246,0,92,1224.0,792.0,VECTOR
177,5123,0,77,1224.0,792.0,VECTOR
178,43805,0,74,1224.0,792.0,VECTOR
179,28605,0,78,1224.0,792.0,VECTOR
180,4717,0,63,1224.0,792.0,VECTOR
181,976,0,55,1224.0,792.0,VECTOR
182,8579,0,92,1224.0,792.0,VECTOR
183,3509,0,98,1224.0,792.0,VECTOR
184,6071,0,79,1224.0,792.0,VECTOR
185,14639,0,92,1224.0,792.0,VECTOR
186,8836,0,77,1224.0,792.0,VECTOR
187,49333,0,81,1224.0,792.0,VECTOR
188,30549,0,86,1224.0,792.0,VECTOR
189,1017,0,63,1224.0,792.0,VECTOR
190,977,0,55,1224.0,792.0,VECTOR
191,9744,20,106,1224.0,792.0,HYBRID
192,4605,1,222,1224.0,792.0,HYBRID
193,2137,0,81,1224.0,792.0,VECTOR
194,4606,0,155,1224.0,792.0,VECTOR
195,6067,0,62,1224.0,792.0,VECTOR
196,5017,0,161,1224.0,792.0,VECTOR
197,5489,0,67,1224.0,792.0,VECTOR
198,4823,0,93,1224.0,792.0,VECTOR
199,15858,0,134,1224.0,792.0,VECTOR
200,7359,0,105,1224.0,792.0,VECTOR
201,45894,0,116,1224.0,792.0,VECTOR
202,30545,0,115,1224.0,792.0,VECTOR
203,2498,0,104,1224.0,792.0,VECTOR
204,2085,0,104,1224.0,792.0,VECTOR
